1,0.8
2,1.7
3,0.1
4,1
5,0.1
6,0.4
7,0.2
8,0.2
9,0.1
10,0.6
11,0.2
12,0.3
13,0.1
14,0.3
15,0.2
16,0.3
17,0.4
18,0.1
19,0.3
20,0.2
21,0.6
22,0.3
23,0.5
24,0.6
25,0.6
26,0.7
27,1.2
28,1
29,1.4
30,1.5
31,1.9
32,1.9
33,1.7
34,1.6
35,1.5
36,1.3
37,1
38,1.1
39,1.1
40,0.6
41,0.7
42,0.6
43,0.7
44,0.8
45,0.7
46,0.8
47,0.7
48,1
49,0.9
50,0.8
51,1
52,0.7
53,0.7
54,0.6
55,0.7
56,0.8
57,0.7
58,0.9
59,1.1
60,1
61,1.2
62,1.1
63,1.5
64,1.3
65,1.5
66,1.8
67,2
68,2.1
69,2
70,2.3
71,2.3
72,2.5
73,2.2
74,2.3
75,2.1
76,2.2
77,1.9
78,1.8
79,1.6
80,1.4
81,1.2
82,1.3
83,1.3
84,1.4
85,1.1
86,1.8
87,1.9
88,1.3
89,0.6
90,0.5
91,0.4
92,0.8
93,0.4
94,1.7
95,0.4
96,1.2
